Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Message,Exact_Date
Fruttagel,https://www.fruttagel.it/,unknown,27/10/54988,NA,"Fruttagel was founded in 1994 when the Alfonsine plant in Ravenna was established. It combines the legacies of two important players working together in the field: Ala Frutta, a cooperative founded in the early 1960s, specializing in the processing of fresh fruit.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c8ac98f6-1a2d-4251-96ce-fd55bc685afb,BlackCat,NA,NA,"More than 720 gigabytes of corporate data available: - Financial and corporate documents, customer data from bank cards - Contracts with companies like IKEA, PepsiCO, etc. - SGS certificates, private date, GDPR files, employee contacts, management, large customer base with global companies. - Archives of corporate letters of some employees with a selection of contacts of clients and partners of the company (for phishing attacks on behalf of the company). - Drawings of the company's products (there is no way to check, but we are ready to provide the buyer for analysis)  Screenshots of example files: https://ibb.co/zmLn26D - SGS https://ibb.co/VjDQFzV - FABBRINO STANISLAO PASSPORT https://ibb.co/THdpJNY - CERTIFICATION https://ibb.co/q0nFMzv - CLIENTS https://ibb.co/VwQhsvs - COMPANY PROGRAMM https://ibb.co/BwqpBXk - BUDGET https://ibb.co/pj0wmv5 - CERTIFICATION 2 https://ibb.co/HNrkFkt - CERTIFICATION 3 https://ibb.co/BV6R68M - CLIENTS 2 https://ibb.co/MnFSt5r - GDPR https://ibb.co/xmtdQss - IKEA https://ibb.co/sqccx0t - PASSPORT ALBERANI https://ibb.co/M6MRW96 - PASS https://ibb.co/wrYwyPR - LICENSIA ALBERANI https://ibb.co/TgsFLm7 - CARTA RICARDO https://ibb.co/ZTH6w3d FABBRINO DOC 2 https://ibb.co/w04W2jr - GDPR 4 https://ibb.co/Z6mjp4W - PEPSICO https://ibb.co/8Bn7MBD - PEPSICO 8 https://ibb.co/6YdnhhY - BUDGET 3",27/10/54988 21:21:50
Pendulum Associates public website of data leak,NA,NA,21/07/54986,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/62b6deb5-88a3-4757-a4bf-78c8ae0df0ea,BlackCat,NA,NA,NA,21/07/54986 04:45:12
Grupo Estrategas EMM,https://estrategas.com.mx,unknown,18/05/54980,NA,"Grupo Estrategas S.A. de C.V es una empresa 100 % mexicana comprometida con el mercado asegurador mexicano y socialmente responsable con todos nuestros clientes, proveedores y empleados.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/e7b7d2ba-cf36-4c13-9f5f-53f144795b90,BlackCat,NA,NA,"We have information about  inner documentation and all your clients  - Afirme, Banorte, GNP etc...",18/05/54980 04:50:27
"Buffco Production, Inc.",https://www.buffcoproduction.com,unknown,05/11/54979,NA,"Buffco Production, Inc. is a native East Texas exploration and production company with more than 35 years of experience in the oil and natural gas industry. Buffco strives to drill and produce oil and gas efficiently and keep its owners informed while maintaining industry standards. Buffco understands the continuously evolving practices and technologies in the oil and gas industry, and has significant expertise with combatting shifting commodities markets. Buffco can navigate current producing properties, while methodically evaluating new prospects and strategically choosing those that fit current climates. Buffco’s adaptability and expansive knowledge base of conventional and unconventional oil and gas development are the reasons why it has had scalable growth over decades past.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/396070d6-66e2-4acc-ae5c-1863ddff4222,BlackCat,NA,NA,"956 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Loans data, Insurance, Agreements and much more); - Clients documentation (DL's, ID's, SSN's, Financial data, Credit cards information, Loans data, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",05/11/54979 12:46:14
Dental One,dental1.com.au,unknown,05/06/54975,NA,"Dental One are a caring team of dentists in Craigieburn, Templestowe and Epping North. Affordable options for all, NO GAP on all general dental!",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b7057b04-5bcf-4ea9-ac2f-f5775fedb1fe,BlackCat,NA,NA,6GB of interesting data.  https://anonfiles.com/Lcy8MdPfy2/Dental_One_zip,05/06/54975 11:41:31
SUMITOMO BAKELITE USA,sumibe.co.jp,unknown,16/08/54960,NA,"Sumitomo Bakelite Company Limited, together with its subsidiaries, engages in the research and development, manufacture and sale of semiconductor materials",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b4a61f4f-dfc9-4c79-8321-270440b4b43a,BlackCat,NA,NA,255GB of interesting data.,16/08/54960 04:44:21
"JAKKS Pacific, Inc.",https://jakks.com,unknown,17/06/54960,NA,"Corporate Overview JAKKS Pacific, Inc. is a multi-brand company that, since 1995, has been designing, developing, producing and marketing toys, leisure products and writing instruments for children and adults around the world.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ac24b721-853e-46f8-b45a-19c9090118e3,BlackCat,NA,NA,"These guys had a serious data leak in some places, very interesting actually. enjoy :)",17/06/54960 02:47:25
SSI Schäfer Shop,https://www.ssi-schaefer.com/en-us,unknown,14/09/54956,NA,"Since 1937, SSI SCHAEFER has been leading the way in storage and shelving solutions. Today, SSI SCHAEFER offers a complete line of automated material handling applications—including ASRS systems and warehouse management software. With automated storage and retrieval systems",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2012c28b-309f-4b65-b4f2-c798ae2cfb3f,BlackCat,NA,NA,"With SSI SCHAEFER, we focus on a long-term commitment to our customers. This does not end once a solution has been installed. We provide lasting support and assistance to customers through preventive system maintenance, along with the ability to expand and modify facilities in response to changing requirements. During this process, SSI SCHAEFER assumes responsibility and lays the foundation for a long-term and sustainable working relationship with customers. Because we take the protection of your personal data very seriously. Compliance with the provisions of the General Data Protection Regulation and the new BDSG (Federal Data Protection Act) goes without saying for us. Be honest with your customers. It's not appropriate for 80yo company to share this data with everyone",14/09/54956 04:21:54
Meyer & Meyer Holding SE & Co. KG , https://www.meyermeyer.com ,unknown,02/08/54956,NA,"Founded in Germany, but at home across the globe: Meyer & Meyer is a partner with international expertise and a broad network extending to the most critical hubs of the fashion industry in the world. With our own locations in Bulgaria, Morocco, Macedonia, Poland, Romania and Tunisia, we operate close to production in Europe and North Africa.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a6c87db8-5f47-4ff7-90d4-3cb9d0c8fdb7,BlackCat,NA,NA,Your clients here. The company don't care about it. So sad,02/08/54956 08:17:35
CR&R,https://crrwasteservices.com,unknown,17/07/54956,NA,"CR&R Incorporated will not share any personal financial information you provide (such as credit card information) with other companies. From time to time, this website may provide links to other websites. You should carefully review the privacy policies on those sites, they may differ from the CR&R Incorporated Privacy Policy.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/3345251b-76da-4df5-b6fd-8e6f1a7ac073,BlackCat,NA,NA,"If you would like to contact us for any reason regarding our privacy policy you may write to us at:  CR&R Incorporated 11292 Western Ave. Stanton, CA 90680 (714) 890-6300  If you have a problem with our use of your information, please let us know and we will make all reasonable efforts to correct it.",17/07/54956 06:17:34
FARMS.COM,https://www.farms.com/,unknown,01/07/54956,NA,"Farming has always been about managing information and effectively using technology for success. At Farms.com, we’re excited by the power and potential of new technology; we recognize that it is a significant enabler in the evolution of farming and agribusiness. Our goal is to strive to use technology to enable our customers to manage information to their advantage. We are continuously researching, developing and introducing technology innovations to enhance farming management efficiency and effectiveness.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/25571f3c-af8d-46df-8bf5-acced930666b,BlackCat,NA,NA,It's better to worry about your clients,01/07/54956 07:03:48
Empresas Públicas de Medellín,https://www.epm.com.co,unknown,27/05/54956,NA,"The bylaws in force for EPM E.S.P. are contained in Decision 12 of 1998, as amended by Decision 32 of 2006. It operates in the water (and sewerage), electricity and gas sectors. It is legally empowered to also act in the telecommunications and garbage collection sectors.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/970b04c6-f87b-4114-97b0-8ab7e2e23162,BlackCat,NA,NA,Going to publish a data soon,27/05/54956 15:33:23
STRESSER ASSOCIATES CPA,https://www.stressercpa.com/home,unknown,20/03/54954,NA,"Want some tax returns from Georgia residents?  Want some passports or driver licenses?  Come grab them, its free!  We created a clearnet site with the stolen data.   http://streserecpa.com/  https://anonfiles.com/j5md32Oay1/clientsdata1_zip",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7001ab84-827e-4be9-81d4-4a32f0893aae,BlackCat,NA,NA,"Want some tax returns from Georgia residents?  Want some passports or driver licenses?  Come grab them, its free!  We created a clearnet site with the stolen data, we hope you enjoy it!   http://streserecpa.com/  https://anonfiles.com/j5md32Oay1/clientsdata1_zip",20/03/54954 14:52:05
ELOTECH - HACKED AND MORE THEN 100 GB DATA LEAKED!,https://www.elotech.com.br,unknown,26/01/54951,NA,"Company: elotech Headquarters: 14 Rua Giampero Monacci, Maringa, Parana, Brazil Phone Number: +55 4440093550  Elotech is the largest and best public administration system company in Paraná and one of the best in Brazil!",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/68f7902b-b6be-4655-b6d6-2041e82b17dd,BlackCat,NA,NA,"Elotech has 48 hours to contact us to get a chance to recover your data and protect your customers from leakage.  If Elotech does not contact us within 48 hours after the attack, this blog will be published, all data will be publicly available, and activities will begin that will cause serious damage to Elotech, its customers and partners.  Customer data will be used for illegal purposes. All customers will be informed about the sale of their personal data by the company. Partners and suppliers will be informed about the risks of cooperation with you.  There is also an opportunity to buy Elotech source codes from us, but only if the company ignores us. If the source codes are not bought, we will publish them in the public domain.  Elotech has a chance to recover their data only within 48 hours if they contact us at the specified time. This is the only chance they have to save their reputation, their business and the data of their customers and partners.",26/01/54951 11:12:25
Fruttagel,https://www.fruttagel.it/,unknown,19/12/54942,NA,"Fruttagel was founded in 1994 when the Alfonsine plant in Ravenna was established. It combines the legacies of two important players working together in the field: Ala Frutta, a cooperative founded in the early 1960s, specializing in the processing of fresh fruit.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/565fdff7-77ea-4269-bbe9-2e841239a6f4,BlackCat,NA,NA,"More than 720 gigabytes of corporate data available: - Financial and corporate documents, customer data from bank cards - Contracts with companies like IKEA, PepsiCO, etc. - SGS certificates, private date, GDPR files, employee contacts, management, large customer base with global companies. - Archives of corporate letters of some employees with a selection of contacts of clients and partners of the company (for phishing attacks on behalf of the company). - Drawings of the company's products (there is no way to check, but we are ready to provide the buyer for analysis)  Screenshots of example files: https://ibb.co/zmLn26D - SGS https://ibb.co/VjDQFzV - FABBRINO STANISLAO PASSPORT https://ibb.co/THdpJNY - CERTIFICATION https://ibb.co/q0nFMzv - CLIENTS https://ibb.co/VwQhsvs - COMPANY PROGRAMM https://ibb.co/BwqpBXk - BUDGET https://ibb.co/pj0wmv5 - CERTIFICATION 2 https://ibb.co/HNrkFkt - CERTIFICATION 3 https://ibb.co/BV6R68M - CLIENTS 2 https://ibb.co/MnFSt5r - GDPR https://ibb.co/xmtdQss - IKEA https://ibb.co/sqccx0t - PASSPORT ALBERANI https://ibb.co/M6MRW96 - PASS https://ibb.co/wrYwyPR - LICENSIA ALBERANI https://ibb.co/TgsFLm7 - CARTA RICARDO https://ibb.co/ZTH6w3d FABBRINO DOC 2 https://ibb.co/w04W2jr - GDPR 4 https://ibb.co/Z6mjp4W - PEPSICO https://ibb.co/8Bn7MBD - PEPSICO 8 https://ibb.co/6YdnhhY - BUDGET 3",19/12/54942 18:10:46
Protecmedia ,https://www.protecmedia.com/solutions/en,unknown,27/12/54939,NA,"Our tools make up a complete solution that streamlines the management of creatives and facilitates the entire process of recruitment, production, planning and billing of editorial advertising in its entirety.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/743f7aa0-0f38-494b-ab3f-2455980d38e3,BlackCat,NA,NA,Take a look on our samples  We've got some sensitive information for you,27/12/54939 04:56:54
